"date","close","volume","open","high","low"
"16:00","19.18","82,491","19.50","19.61","19.1101"
"2019/05/28","19.6500","77470.0000","20.5200","20.6210","19.6300"
"2019/05/24","20.5700","68452.0000","20.2900","20.6200","20.2058"
"2019/05/23","20.1800","71467.0000","20.0600","20.3800","19.9800"
"2019/05/22","20.2100","73241.0000","20.2100","20.5200","20.0500"
"2019/05/21","20.3100","96515.0000","19.6800","20.3300","19.6800"
"2019/05/20","19.6100","92108.0000","19.4500","19.8800","19.4200"
"2019/05/17","19.5600","91592.0000","19.4700","19.9600","19.4700"
"2019/05/16","19.6500","78902.0000","19.6000","19.8800","19.5900"
"2019/05/15","19.5500","81535.0000","19.1800","19.7600","19.0250"
"2019/05/14","19.3700","102665.0000","19.4500","19.7300","19.2900"
"2019/05/13","19.4300","115557.0000","19.1400","19.5900","19.0200"
"2019/05/10","19.4300","72783.0000","19.0500","19.5000","19.0500"
"2019/05/09","19.2200","89715.0000","18.5800","19.2600","18.5000"
"2019/05/08","18.7400","82716.0000","18.6300","19.0600","18.5400"
"2019/05/07","18.6900","179401.0000","18.4000","18.7500","18.3500"
"2019/05/06","18.6100","263116.0000","17.9600","18.7400","17.9600"
"2019/05/03","18.3000","178467.0000","17.9700","18.7200","17.8405"
"2019/05/02","17.7700","280053.0000","16.8500","17.9400","16.5800"
"2019/05/01","17.3100","198595.0000","17.5300","17.7400","17.2500"
"2019/04/30","17.5500","286748.0000","18.5200","18.5800","17.2550"
"2019/04/29","18.4600","132412.0000","18.6700","18.8600","18.3475"
"2019/04/26","18.6900","63842.0000","18.8900","18.9800","18.6300"
"2019/04/25","18.8400","129698.0000","19.1200","19.1250","18.7900"
"2019/04/24","19.2500","102168.0000","18.8900","19.3400","18.7900"
"2019/04/23","18.8700","75094.0000","18.6700","18.9500","18.6100"
"2019/04/22","18.6800","59701.0000","19.3100","19.3450","18.5250"
"2019/04/18","19.4100","57918.0000","19.2100","19.4300","19.0900"
"2019/04/17","19.2600","76308.0000","19.1600","19.2900","18.8900"
"2019/04/16","19.0600","63116.0000","19.3600","19.3600","18.9300"
"2019/04/15","19.2800","45928.0000","19.4000","19.4400","19.2300"
"2019/04/12","19.4400","110012.0000","19.0000","19.4900","18.8700"
"2019/04/11","18.8600","31711.0000","19.1200","19.1900","18.8500"
"2019/04/10","19.1300","51214.0000","18.8500","19.1700","18.8200"
"2019/04/09","18.8800","53819.0000","19.4300","19.4300","18.8500"
"2019/04/08","19.4600","78333.0000","19.2700","19.4900","19.0136"
"2019/04/05","19.3500","40361.0000","19.4500","19.6000","19.3200"
"2019/04/04","19.4300","73901.0000","19.2000","19.4500","19.2000"
"2019/04/03","19.1400","98922.0000","19.0500","19.3900","19.0500"
"2019/04/02","19.1500","79409.0000","19.1900","19.3000","18.9600"
"2019/04/01","19.1900","48580.0000","19.2500","19.4200","19.1350"
"2019/03/29","19.2500","86723.0000","19.1800","19.3300","18.9700"
"2019/03/28","19.2200","55521.0000","19.1800","19.2900","19.0400"
"2019/03/27","19.1100","71668.0000","19.0400","19.2300","18.8800"
"2019/03/26","19.1400","39718.0000","18.9900","19.1900","18.9400"
"2019/03/25","18.9100","117012.0000","18.8400","19.0000","18.5600"
"2019/03/22","18.8300","131567.0000","19.5100","19.5300","18.8000"
"2019/03/21","19.5900","98012.0000","19.4300","19.7600","19.3800"
"2019/03/20","19.4300","127853.0000","20.0500","20.0500","19.3901"
"2019/03/19","20.0900","79465.0000","20.0100","20.3300","19.9900"
"2019/03/18","20.0100","165852.0000","19.7600","20.0600","19.7600"
"2019/03/15","19.6900","252750.0000","19.9500","20.0600","19.6500"
"2019/03/14","19.9500","73578.0000","20.1400","20.1800","19.9000"
"2019/03/13","20.1000","103553.0000","20.3000","20.3300","19.9900"
"2019/03/12","20.3700","101823.0000","20.7900","20.9050","20.3400"
"2019/03/11","20.8900","74490.0000","21.0300","21.1000","20.7100"
"2019/03/08","20.9900","137966.0000","20.4100","21.1000","20.4100"
"2019/03/07","20.5700","95762.0000","20.8100","20.8100","20.3400"
"2019/03/06","20.7800","94660.0000","21.4800","21.4800","20.6600"
"2019/03/05","21.5500","110917.0000","21.4100","21.6500","21.2800"
"2019/03/04","21.3900","103918.0000","21.5200","21.6050","21.3200"
"2019/03/01","21.4300","95301.0000","21.1600","21.4300","21.0400"
"2019/02/28","21.0100","124383.0000","20.8800","21.1000","20.5900"
"2019/02/27","20.9800","77430.0000","21.1400","21.2900","20.8000"
